VariableCountDepth_0,java.util.concurrent.CopyOnWriteArrayList<java.lang.Float>,java.util.ArrayList<java.lang.Float>,MethodInvocationsDepth_0,java.util.LinkedList<java.lang.Integer>,java.util.Vector<java.lang.Integer>,ReassignmentsDepth_0,java.util.ArrayList<java.lang.Double>,CustomObjectWithCustomMethod,java.util.Stack<java.lang.Double>,java.util.LinkedList<java.lang.Character>,java.util.Stack<java.lang.Long>,java.util.Vector<java.lang.Character>,BinaryOperatorsDepth_0,BranchCount,java.util.concurrent.CopyOnWriteArrayList<java.lang.Character>,java.util.Stack<java.lang.Integer>,java.util.concurrent.CopyOnWriteArrayList<java.lang.Long>,LoopCount,ThreadUsage,CyclomaticComplexity,java.util.ArrayList<java.lang.Integer>,java.util.Stack<java.lang.Float>,java.util.Vector<java.lang.Float>,java.util.concurrent.CopyOnWriteArrayList<java.lang.Integer>,LiteralCountDepth_0,java.util.LinkedList<java.lang.Double>,ReturnType_void,ImportsUsed,AssignmentsDepth_0,java.util.LinkedList<java.lang.Float>,java.util.Vector<java.lang.Long>,java.util.concurrent.CopyOnWriteArrayList<java.lang.Double>,java.util.LinkedList<java.lang.Long>,java.util.Stack<java.lang.Character>,java.util.ArrayList<java.lang.Character>,java.util.ArrayList<java.lang.Long>,java.util.Vector<java.lang.Double>,VariableDeclarationsDepth_0,Input1,Input2,EnergyUsed,Filename
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,47794,946,0.2875233099174807,DefaultSortArrayList426
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,299,49964,7.348021642201878E-4,DefaultSortLinkedList265
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,299,5896,4.4936312754456295E-4,DefaultSortVector419
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,4883,2408,0.016040309364548533,DefaultSortVector957
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1243,64,0.0,DefaultSortStack481
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,277,8,0.0,DefaultSortArrayList61
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,47794,64,0.29900449665175544,DefaultSortStack506
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2984,2408,0.0070484165659893605,DefaultSortCopyOnWriteArrayList705
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1243,2408,0.002244263081395365,DefaultSortArrayList897
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,299,54419,5.083302115712823E-4,DefaultSortArrayList703
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1236,17593,0.006461488929761677,DefaultSortLinkedList851
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,277,54419,6.16886145759335E-4,DefaultSortArrayList483
